date,max_temp,min_temp
2026-03-31,21.6,14.4
2026-04-01,17.4,13.7
2026-04-02,18.2,9.2
2026-04-03,23.4,7.5
2026-04-04,27.6,10.0
2026-04-05,28.4,12.6
2026-04-06,26.6,11.0
2026-04-07,20.1,11.1
